Gregorian_date,lunar_day,number_lunar_days,lunar_month,Gregorian_month,season,mean_daily_temp,system,tank_id,colony_id,RO_<5 included,RT_angle_ALL,RO,RT_remove_NA,RT_angle
2021-03-13,1,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,12,0,0,NA
2021-03-14,2,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,24,0,0,NA
2021-03-15,3,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,36,0,0,NA
2021-03-16,4,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,48,0,0,NA
2021-03-17,5,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,60,0,0,NA
2021-03-18,6,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,72,0,0,NA
2021-03-19,7,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,84,0,0,NA
2021-03-20,8,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,96,0,0,NA
2021-03-21,9,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,108,0,0,NA
2021-03-22,10,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,120,0,0,NA
2021-03-23,11,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,132,0,0,NA
2021-03-24,12,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,144,0,0,NA
2021-03-25,13,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,156,0,0,NA
2021-03-26,14,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,168,0,0,NA
2021-03-27,15,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,180,0,0,NA
2021-03-28,16,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,192,0,0,NA
2021-03-29,17,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,204,0,0,NA
2021-03-30,18,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,216,0,0,NA
2021-03-31,19,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,228,0,0,NA
2021-04-01,20,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,240,0,0,NA
2021-04-02,21,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,252,0,0,NA
2021-04-03,22,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,264,0,0,NA
2021-04-04,23,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,276,0,0,NA
2021-04-05,24,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,288,0,0,NA
2021-04-06,25,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,300,0,0,NA
2021-04-07,26,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,312,0,0,NA
2021-04-08,27,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,324,0,0,NA
2021-04-09,28,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,336,0,0,NA
2021-04-10,29,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,348,0,0,NA
2021-04-11,30,30,Feb_2021,Mar_2021,spring,NA,FTS,FTS_tank3,FTS_colony1,0,360,0,0,NA
2021-04-12,1,30,Mar_2021,Apr_2021,spring,25.65767361,FTS,FTS_tank3,FTS_colony1,NA,12,NA,0,NA
2021-04-13,2,30,Mar_2021,Apr_2021,spring,25.60036111,FTS,FTS_tank3,FTS_colony1,NA,24,NA,0,NA
2021-04-14,3,30,Mar_2021,Apr_2021,spring,25.61856944,FTS,FTS_tank3,FTS_colony1,2,36,0,0,NA
2021-04-15,4,30,Mar_2021,Apr_2021,spring,25.67191667,FTS,FTS_tank3,FTS_colony1,1,48,0,0,NA
2021-04-16,5,30,Mar_2021,Apr_2021,spring,25.60168056,FTS,FTS_tank3,FTS_colony1,0,60,0,0,NA
2021-04-17,6,30,Mar_2021,Apr_2021,spring,25.64764583,FTS,FTS_tank3,FTS_colony1,0,72,0,0,NA
