Gregorian_date,lunar_date,hour,light.dark,study_time,colony_id,tank_id,system,RO,total_RO,per.release,prop.release
2022-3-1,2022-1-29,19,dark,1,RAS_colony5,RAS_tank1,RAS,16,252,6.349206349,0.063492063
2022-3-1,2022-1-29,20,dark,2,RAS_colony5,RAS_tank1,RAS,2,252,0.793650794,0.007936508
2022-3-1,2022-1-29,21,dark,3,RAS_colony5,RAS_tank1,RAS,0,252,0,0
2022-3-1,2022-1-29,22,dark,4,RAS_colony5,RAS_tank1,RAS,12,252,4.761904762,0.047619048
2022-3-1,2022-1-29,23,dark,5,RAS_colony5,RAS_tank1,RAS,0,252,0,0
2022-3-2,2022-1-30,00,dark,6,RAS_colony5,RAS_tank1,RAS,3,252,1.19047619,0.011904762
2022-3-2,2022-1-30,1,dark,7,RAS_colony5,RAS_tank1,RAS,2,252,0.793650794,0.007936508
2022-3-2,2022-1-30,2,dark,8,RAS_colony5,RAS_tank1,RAS,2,252,0.793650794,0.007936508
2022-3-2,2022-1-30,3,dark,9,RAS_colony5,RAS_tank1,RAS,4,252,1.587301587,0.015873016
2022-3-2,2022-1-30,4,dark,10,RAS_colony5,RAS_tank1,RAS,33,252,13.0952381,0.130952381
2022-3-2,2022-1-30,5,dark,11,RAS_colony5,RAS_tank1,RAS,26,252,10.31746032,0.103174603
2022-3-2,2022-1-30,6,dark,12,RAS_colony5,RAS_tank1,RAS,32,252,12.6984127,0.126984127
2022-3-2,2022-1-30,7,light,13,RAS_colony5,RAS_tank1,RAS,21,252,8.333333333,0.083333333
2022-3-2,2022-1-30,8,light,14,RAS_colony5,RAS_tank1,RAS,2,252,0.793650794,0.007936508
2022-3-2,2022-1-30,9,light,15,RAS_colony5,RAS_tank1,RAS,2,252,0.793650794,0.007936508
2022-3-2,2022-1-30,10,light,16,RAS_colony5,RAS_tank1,RAS,0,252,0,0
2022-3-2,2022-1-30,11,light,17,RAS_colony5,RAS_tank1,RAS,1,252,0.396825397,0.003968254
2022-3-2,2022-1-30,12,light,18,RAS_colony5,RAS_tank1,RAS,4,252,1.587301587,0.015873016
