lunar_month,Gregorian_month,system,tank_id,time,Ca,Mg,Alkalinity ,pH,NO3,NO2,NH3,PO4,Salinity
Feb_2021,Mar_2021,FTS,FTS_tank1,1,430,1260,7.9,8,0,0,0,0,34
Mar_2021,Apr_2021,FTS,FTS_tank1,2,405,1245,7.3,8,0,0,0,0,34.1
Apr_2021,May_2021,FTS,FTS_tank1,3,415,1230,7.2,8.15,0,0,0,0,31.3
May_2021,Jun_2021,FTS,FTS_tank1,4,400,1110,6.7,8.15,0,0.1,0.15,0,28.6
Jun_2021,Jul_2021,FTS,FTS_tank1,5,385,1305,7.3,8.15,0,0,0,0,32.8
Jul_2021,Aug_2021,FTS,FTS_tank1,6,400,1230,5.7,8,0,0,0,0,33
Aug_2021,Sep_2021,FTS,FTS_tank1,7,400,1290,7,8.15,0,0,0,0,33.7
Sep_2021,Oct_2021,FTS,FTS_tank1,8,380,1362,5.7,7.8,2,0,0,0.1,34.2
Oct_2021,Nov_2021,FTS,FTS_tank1,9,410,1286,5.6,8,1,0,0,0,34.3
Nov_2021,Dec_2021,FTS,FTS_tank1,10,385,1332,5.6,8.1,1,0,0,0,33.9
Dec_2021,Jan_2022,FTS,FTS_tank1,11,379,1311,6.2,8.1,1,0,0.1,0.1,33.9
Jan_2022,Feb_2021,FTS,FTS_tank1,12,379,1335,5.9,8,0,0,0,0.1,34.2
Feb_2021,Mar_2021,FTS,FTS_tank2,1,405,1305,6.9,8,0,0,0,0,34
Mar_2021,Apr_2021,FTS,FTS_tank2,2,415,1290,6.7,8.15,0,0,0,0,34.1
Apr_2021,May_2021,FTS,FTS_tank2,3,410,1245,8,8.15,0,0,0,0,31.2
May_2021,Jun_2021,FTS,FTS_tank2,4,390,1140,6.7,8.15,0,0,0.15,0,28.3
Jun_2021,Jul_2021,FTS,FTS_tank2,5,375,1275,6.9,8.15,0,0,0,0,33
Jul_2021,Aug_2021,FTS,FTS_tank2,6,400,1232,5.7,8.4,0,0,0,0,33
Aug_2021,Sep_2021,FTS,FTS_tank2,7,400,1290,7,8.15,0,0,0,0,33.7
Sep_2021,Oct_2021,FTS,FTS_tank2,8,391,1350,5.9,7.8,2,0,0,0.2,34
Oct_2021,Nov_2021,FTS,FTS_tank2,9,417,1282,6.2,8,0,0,0,0,34.2
Nov_2021,Dec_2021,FTS,FTS_tank2,10,394,1304,5.9,8.1,0,0,0,0.1,34.1
Dec_2021,Jan_2022,FTS,FTS_tank2,11,392,1324,6,8,0,0,0,0,34.1
